Age,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,pc1_1,pc1_2,pc1_3,pc1_4,pc1_5,pc2_1,pc2_2,Credit_Score
0.6904761904761905,2,2,0,0.21602519370788476,0.33506997021192286,0.05615069228334413,0.047829364246395084,0.14689719554228936,-0.0413061803220105,0.042561902940837074,2
0.1904761904761904,1,1,0,-0.31903760604377374,0.11277006565690884,0.22719779512290417,0.05569371371354094,0.11725616933483585,0.27880122457299933,0.10881088717741969,0
0.42857142857142855,1,1,3,-0.4192385961298259,0.06982219676479562,0.2326815658184298,-0.11079338117788706,0.25145048876894216,-0.2002763992289989,0.05665117977177503,0
0.4761904761904762,1,0,0,-0.25723673091264754,-0.2374834766644976,0.37688568788367216,-0.06843288630201194,0.012728353593333436,-0.16898003268901224,0.03745128476367103,0
0.4523809523809524,1,1,5,-0.5025523294477184,0.07382062050077398,0.22619258127207997,-0.284319204618914,-0.01574771775438058,-0.19833514271873984,-0.03479269237063555,0
0.42857142857142855,2,2,5,0.3402974060488062,0.2927363862981378,-0.058469780152673956,0.1339402946288592,-0.05372561112973778,-0.23813268427515463,0.0005224090415302113,1
0.047619047619047616,3,2,5,0.825048833622896,0.04706410929853838,0.06611913158354599,-0.4306706508011277,-0.022138647146696805,-0.28441614897717316,0.035481849574872215,1
0.14285714285714285,2,2,4,0.48391076658761123,-0.29929154861433466,-0.21223414868367674,-0.230212398729724,0.3408555449399859,-0.22609086988246632,-0.001985928586361943,1
0.3333333333333333,1,1,3,-0.5007387762770811,0.16776579952610104,0.24966355937595497,-0.23573347657260973,0.2217853365312326,-0.1259578084184772,0.041315732774841366,2
0.07142857142857145,0,2,5,0.848864505663625,0.0600371096229077,-0.1791135446221296,-0.10729477337730126,0.0804600780383633,-0.24360505518041753,0.0022604735505673407,2
0.7142857142857142,2,1,4,-0.2252552953252831,-0.2942304951549081,-0.16010719742044469,0.14679356942028837,-0.015923570413122035,0.1318225292801269,-0.10363205361522629,2
0.6904761904761905,2,1,3,-0.25784617111270713,-0.33785914362440644,0.0010020045134382372,0.31455334175886734,-0.15513150289241817,0.20388118179701903,0.029831749743298455,2
0.3095238095238095,1,1,1,-0.44834085699569737,0.25327131260449326,0.006445020127097967,-0.05198590501388417,0.12474294324580787,0.41471249841130137,0.15095932651285943,2
0.047619047619047616,2,0,4,0.10096907437892,0.2943192659055475,0.2713427530946043,0.2797533284283856,-0.07773478325976604,-0.25041082290269423,-0.010681631319246092,2
0.6904761904761905,3,2,4,0.6087401345018595,0.43125004060031347,-0.22012610045655656,0.012033997802825547,-0.28095472740273575,-0.24555507548930075,-0.0101578596484114,1
0.6190476190476191,3,2,0,1.1877217750360183,0.02061703253871844,0.27601285928131936,0.22024077601919556,0.41129330994972885,0.04055307566536365,-0.04159418499122801,1
0.9047619047619049,1,1,2,-0.4780997774430556,0.05252686436742465,-0.09216759641862413,-0.002450736930054348,0.0386314019862648,-0.20368316053158425,0.05539643662919094,1
0.4047619047619047,3,2,2,1.0590906972021386,0.2665925367688983,0.22747022567292297,0.34361908746703906,0.12859726256998288,-0.21912614017144819,-0.02046571780167588,2
0.2619047619047619,3,1,0,-0.6539216877774413,0.16800354017823832,0.11485502476507575,-0.20003544754482228,0.0852345479714357,0.7879039715783815,0.1385815177789488,2
0.6428571428571428,1,1,4,-0.4789902210378259,0.060501436194210334,0.1433060896988796,0.20402394650069455,0.021770950763299574,-0.22653557658482568,0.02658565954765904,0
0.4523809523809524,1,1,3,-0.43169033423750913,-0.38901727216269205,0.13500073263075063,0.08190946883863498,-0.10616961874146394,-0.1272758455681533,0.05742323067366564,0
1.0,1,0,1,-0.6674097036313048,0.14282499612991795,-0.053942479123008646,-0.15244014975161668,0.330552738854992,-0.08410928106418636,0.0569962000096588,1
0.8333333333333333,1,1,4,-0.5215808731184916,-0.027932085173830945,0.014390457800204204,-0.0790179732270857,0.1810418243786514,0.4575222607395994,-0.28246788485502744,2
0.8571428571428572,1,1,6,-0.07206978900351013,-0.37152125793008134,0.15443870801107829,0.2330830039429591,0.02722265639204874,0.11078721982456008,0.03663667641110717,0
0.35714285714285715,0,2,1,0.7189888389104957,-0.2098787543068102,0.06550456526962745,-0.26539069008003635,-0.09602118100534868,0.017185379479210505,-0.09441023903288522,1
0.14285714285714285,3,1,2,-0.7251624043006843,-0.13237117918491642,-0.05818041136042218,-0.04827605893067327,-0.15626859513139485,0.20512461196615212,0.019742301580856728,0
0.23809523809523808,1,1,3,-0.24281214732367762,-0.2490694770086846,0.22434695953036687,0.19199220943783363,0.024641236723062343,-0.196691879238162,-0.014007842368464127,0
0.2619047619047619,1,1,2,-0.41890628258977186,0.06066005305788935,0.21768478932552404,-0.14469171216654358,-0.09227212772043633,0.2985572249205321,-0.22543412700663443,0
0.8095238095238095,2,1,5,-0.2047702274367973,-0.1349833187469573,0.08677811232624733,0.07872771612756946,-0.3696234843621634,-0.20702791350626473,-0.026040595299716723,2
0.5714285714285714,2,2,0,0.3316765365654546,-0.06723115812143804,-0.4465054420177488,-0.2602885936449262,-0.23446026567826864,-0.08716549736622176,0.06875770194326442,2
0.047619047619047616,2,2,1,0.3855917573759722,0.06172139636909807,-0.2092131099943361,-0.0887896269325783,-0.31029504646359174,0.141511215744558,0.09145257144678559,2
0.6904761904761905,0,2,5,0.6010247759248248,0.02115015168932899,0.03342084869303813,-0.09922053693058375,-0.17384043770708923,-0.060296592813572025,-0.10176000602993274,1
0.047619047619047616,0,2,5,0.7265489560309004,-0.1370910806359586,0.1570055269082966,-0.13100472528689133,0.10179837327462887,0.07076926287644014,-0.2083391813341482,2
0.3095238095238095,0,2,1,0.8383461881968632,0.1462297614694421,-0.23002427977449344,0.10287201285283906,0.43602444710775917,-0.22493230174311532,0.04311548470407285,1
0.1904761904761904,1,0,3,-0.8608215726061844,0.022401003546647813,-0.07039592726696614,0.02009298393471423,-0.0058233249311644975,0.2793882311571629,0.003380262784463531,2
0.4523809523809524,2,1,5,-0.3062904134872375,-0.31639052268262685,0.04141993106204639,0.09618479217863703,-0.021564347111737936,0.06488497938418941,0.0646878855768839,2
0.3809523809523809,1,1,0,-0.645477389814448,-0.1398702840238472,-0.04070487617379054,-0.21246919247139218,-0.005853805474331175,0.19328827504303042,0.22071529702473394,1
0.02380952380952378,0,2,1,0.8336205998665003,0.13984664799958413,-0.15631645845054495,-0.12070589805423981,0.08246119709174515,-0.006704035496824634,0.01389989935778109,1
0.3809523809523809,2,2,5,-0.10612688681801785,-0.24095436786156438,0.11324897604280787,-0.11822149775913704,0.10610057756236052,-0.1412933619336538,-0.12858931701269793,2
0.8809523809523809,1,1,1,-0.5233945121393668,0.3308788146787154,-0.02380555638408227,0.19300261985052958,-0.15505017050039682,-0.06981064045037377,0.07184954795484563,0
0.28571428571428575,1,0,0,-0.7841815447553363,0.09978454500753675,-0.10149711836580211,-0.16195826652102507,0.1363162485156727,0.8652469134836591,0.2834938344043708,0
0.42857142857142855,3,2,5,1.0654276090491968,0.3289156487894928,-0.11916598602026907,-0.07337442249668036,0.23306762958446564,-0.2752699405487918,-0.0002959458966727002,1
0.8809523809523809,3,1,0,-0.7112066789739703,-0.030524250250283158,-0.07152570551208393,0.04159845194468098,0.05393188048962,-0.14293282949938238,0.11783787986614241,2
0.23809523809523808,3,1,0,-0.48898319767635434,0.24238942135132477,0.14321333320385954,-0.04561985421508388,0.06373466034296177,-0.057859002333290444,0.03521149249606571,0
0.5476190476190477,1,1,1,-0.4105078354868916,0.3449456863835199,0.03903283241313743,-0.06623918992287836,0.17551008878016672,0.6462926727407465,-0.10409120511839623,1
0.28571428571428575,2,2,0,0.6708639756880141,-0.2683255643438009,-0.28167841506599106,-0.23868823145363016,-0.17218231717982432,-0.23334608930472664,0.05902679385293544,1
0.42857142857142855,3,0,0,-0.21389083293348,-0.12358789837207335,0.11406851987709943,0.09973288463986543,-0.13690894974372225,0.5614506288542513,0.18538300528797266,2
0.21428571428571425,1,1,5,-0.5460676869137924,0.17332571229220356,-0.11635137364352441,-0.2783371383535894,0.1252393102535715,-0.18992075856978438,-0.06284511704106734,0
0.0,0,2,5,0.733250393149232,-0.013760844419394236,0.12354835109285378,-0.11454673443091684,-0.10211094730117509,-0.16975249782900464,-0.1527932461267687,1
0.9285714285714286,2,0,1,-0.3343094849948205,-0.0735796371782414,0.09295239987721465,0.0411661979291659,-0.05681612322647667,0.29108587022914595,0.1537745658873125,2
0.09523809523809523,0,2,5,1.0257937884633836,0.054029093503813574,0.2667247320082503,-0.27324075021495114,-0.19001219348796924,-0.20718203037568145,-0.008913369673901751,1
0.35714285714285715,3,1,1,-0.5241387787557537,0.3222116718028321,0.11686376424622769,-0.22535057149906135,0.20633369645430982,-0.09604852835767758,0.0034491851093986087,1
0.21428571428571425,2,2,4,-0.03392487566411462,0.007672297101683878,-0.3146574194564345,0.04020806005793179,-0.06488031837251315,-0.1414301235713828,-0.06272920248752663,2
0.28571428571428575,1,1,2,-0.5864242684681465,0.019979843220230553,0.06503542396615453,0.03188128117194239,0.1992347102698555,0.1574462705131104,0.1073135214960313,0
0.6190476190476191,0,2,4,1.1676478928518805,0.18589515507537335,0.20731590105388775,0.2649464717001211,0.18393218111653914,-0.2500809567829476,0.020962658632903045,2
0.14285714285714285,3,1,1,-0.357214333271697,-0.06611717811513934,-0.06946082030912232,0.1788479019075412,0.17627234710055162,0.8543407741846536,0.340333875763019,1
0.6904761904761905,0,0,6,0.7104516792366313,-0.08053228785537464,0.3317119272041744,0.09067213198518426,-0.15730502077077965,-0.2526751650815411,0.013162177679766823,1
0.02380952380952378,0,2,6,0.988110810948166,0.18057403256738708,0.08773116936300657,0.160934285379875,0.0612043943424449,-0.2412331760783936,0.029292554715443342,2
